Restaurant Name,Address,Approximate Rating,Number of Ratings,Source URL
Vishnuji Ki Rasoi,"731 S Wolfe Rd, Sunnyvale",3.9,1171,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJFwyMWIW3j4ARog5Gc2nL9Fg
Chaat House Sunnyvale Wolfe,"889 E El Camino Real, Sunnyvale",4.1,1035,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJB7cvRee1j4ARbQhiToFGdCw
BRUNDAVAN,"2798 E El Camino Real, Santa Clara",4,715,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJxYDCFdzLj4AReITeaWrmKR8
Johal Chaat & Curry,"1202 Kifer Rd, Sunnyvale",4.1,599,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ1aXHqx63j4ARvqwA1NCeASc
Komala Vilas,"1020 E El Camino Real, Sunnyvale",4.1,2125,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ0eo2_Ym1j4ARXxhhNtxsEIY
Swathi Tiffins,"1202 Apollo Way, Sunnyvale",3.9,507,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJn9w2S9K3j4AR-whTBtlWND8
Chaat House Sunnyvale,"939 W El Camino Real, Sunnyvale",4,1283,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ9dytoPO2j4AR2N5eZSlFB2E
Indian Street Food - Food Truck,"603 Old San Francisco Rd, Sunnyvale",4.6,599,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJtQ3ndCO3j4ARTToNOS78Zrg
Abhiruchi,"893 E El Camino Real, Sunnyvale",4.3,858,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJKeNFROe1j4ARbrKzssPCkfM
SHAH RESTAURANT,"962 W El Camino Real, Sunnyvale",4,1416,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJsU2-VfK2j4ARtCefi14Etts
Namaste Indian Cuisine,"447 California Ave, Palo Alto",4.7,280,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJE4gDeLG7j4AR_kI1Gek5x9E
Delhiwala Chaat Restaurant,"590 Old San Francisco Rd, Sunnyvale",4.2,1712,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJCU-B50C2j4ARSTB0utAXas8
Naan & Curry,"375 Saratoga Ave E, San Jose",3.9,510,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ0cBYHJPKj4ARttjp0aHMa3s
Anjappar Chettinad Indian Restaurant,"458 Barber Ln, Milpitas",3.7,2092,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJIZaQaiTJj4ARs277fiP8TuY
Curry Up Now,"321 Hamilton Ave, Palo Alto",4.1,1250,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJaSemeTm7j4AR_Zs5k4tu6fU
Pista House,"2798 El Camino Real, Santa Clara",3.9,144,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJW9E37CS3j4ARoVQ2XhWZ0po
UlavacharU Indian Restaurant,"685 E El Camino Real, Sunnyvale",4,4295,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJEXOAlHa2j4ARXkZnkoHjjAw
Chaat Bhavan Express,"544 Lawrence Expy, Sunnyvale",4,101,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJt8bDhaW3j4ARqJavfTdH0CI
Urban Grill Indian Cuisine,"1214 Apollo Way, Sunnyvale",4.6,1723,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJey9RZ9W3j4ARCdhptdU5N7A
Satkar,"1253 W El Camino Real, Sunnyvale",4.4,1259,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJqUF5g-i2j4ARQOAC5YSqmU8
New Tandoori Cafe,"405 Saratoga Ave, San Jose",3.8,419,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJj5GvDILKj4ARtcX4TZcRt3k
Dindigul Thalappakatti Restaurant,"252 Ranch Dr, Milpitas",4.1,3609,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJu7W_M9_Ij4ARzBk5nwn2yiY
SWARAJ Restaurant (Santa Clara ),"1855 El Camino Real, Santa Clara",4.5,1785,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJiXGrHZvLj4ARGmM0XUMY5Lg
Tong Soon Garden,"3240 El Camino Real, Santa Clara",4.2,526,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJDbklagzKj4ARcSIsI68UNLI
The Mandarin,"1029 El Camino Real, Menlo Park",4.3,162,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJG9rCFfKlj4ARIBaOF4i5_M8
CHINA WOK RESTAURANT,"2633 California St, Mountain View",4,157,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJgT5ZKhGxj4ARdYMpDtwhEjk
Mifen101 幺零幺(原花溪米粉王),"841 Villa St, Mountain View",4.4,453,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJu3a5ugK3j4AR6uq-nikkeUo
Fashion Wok,"163 S Murphy Ave, Sunnyvale",4.4,1224,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJhXlocMy3j4AR2s9HRleLArE
Hong Kong Restaurant,"3691 El Camino Real, Palo Alto",4.2,694,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJtRLy85ywj4AR38KYK7uJ0Yc
Ume Chinese Food,"2595 N First St, San Jose",4.1,138,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJd_jS1WHJj4ARxevw_dND8KQ
Darda Express,"1211 S Mary Ave, Sunnyvale",4,119,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ0Z1ma9i3j4ARh_0KNdaX_mg
Beijing Restaurant,"1460 Halford Ave, Santa Clara",4.2,881,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJpUrSP_G1j4ARQpBkDaP9Owc
Wok's On Express,"156 W El Camino Real, Sunnyvale",3.9,333,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJx2aCWGG2j4ARjGjTMJoWrlY
Joy Wok,"494 N Mathilda Ave, Sunnyvale",4,239,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ9Xd7KFK2j4ARUpIjF9TiGPo
King Eggroll Express,"442 W Calaveras Blvd, Milpitas",3.5,334,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJoViReCjJj4ARJiGd9LNnBPo
Liang's Village,"20530 Stevens Creek Blvd, Cupertino",4.2,689,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJUamHFaG1j4AROTmVVZJjq8I
Wei's Fish,"10520 S De Anza Blvd, Cupertino",4.2,201,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJdX96niC1j4ARAPhEL95pgDc
China Palace Restaurant,"688 Barber Ln, Milpitas",3.5,369,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJAc8G2CTJj4ARbab4esLvp34
Seasons Noodles & Dumplings Garden,"702 Villa St, Mountain View",4.5,257,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJqR9iewC3j4ARFdkuydcsVXk
Green Elephant Gourmet,"3950 Middlefield Rd, Palo Alto",4.1,245,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ-Z6WDW26j4ARvRm_XzDSf3o
Kirin Restaurant,"485 Castro St, Mountain View",3.9,559,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJoyO3qTO3j4ARqP2pWUBWU54
Shanghai Family Restaurant,"10877 N Wolfe Rd, Cupertino",3.5,259,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ83Cp_ZW1j4ARaz2E_T3Z_8E
Shanghai Bun Dynasty,"19634 Stevens Creek Blvd, Cupertino",4,415,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJhafzm7y1j4ARgdm5WGVYhhk
Inchin's Bamboo Garden,"55 River Oaks Pl #70, San Jose",3.6,2016,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJXf1l6wzJj4ARu9i9ijP_vNI
Dim Sum King,"824 W El Camino Real, Sunnyvale",4.2,535,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJk9ZLOYu2j4ARgh7kQM5St5w
Red Pepper Express Food Truck,"750 S Bernardo Ave, Sunnyvale",4.1,359,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJdwGwRfq3j4ARzt5UxHeYty8
P.F. Chang's,"390 W El Camino Real, Sunnyvale",4,1285,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJu5DJuWG2j4AR_rOKA_FQLs0
Asian Street Eatery,"1146 W El Camino Real, Sunnyvale",3.9,127,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJBZ6IcbW3j4ARzN118VO43bY
Taste,"423 University Ave, Palo Alto",4.6,932,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJN1Zo_zi7j4ARIT2NbTuxNZQ
Hunan Impression,"5152 Moorpark Ave #30, San Jose",4.3,1037,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJl41rEWC1j4AR9m5ndL7k-Js
Hunan House,"122 S Sunnyvale Ave, Sunnyvale",4.7,348,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJRWU8M_a3j4ARt7n30Cdnxhs
Chef Chu's,"1067 N San Antonio Rd #1300, Los Altos",4.5,2935,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ1T9Tk5uwj4ARFI0FkzPKOvI
China Delight,"2362 Pruneridge Ave, Santa Clara",4.3,180,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ5xehT2vLj4ARlKp8dTP5Mrg
Famous Food Chinese Restaurant,"872 Old San Francisco Rd, Sunnyvale",4.2,405,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJCxug4Ay2j4AROJr_grvgSN4
Chef Zhao Kitchen,"2180 W Bayshore Rd #120, Palo Alto",4.2,745,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJTamC_qi7j4ARMAC_ZB2hHMI
Panda Express,"790 E El Camino Real, Sunnyvale",3.9,1087,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJCV8fq9-1j4AREwWwHNO729Q
China Stix,"2110 El Camino Real, Santa Clara",4.3,818,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ-aYoH0TKj4ARaLi-UmepzS0
Grandma's Kitchen,"19541 Richwood Dr, Cupertino",4.3,253,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJrQlLTxu1j4ARlHgXrtOFG4c
Chef Kwan's,"630 Menlo Ave, Menlo Park",4,271,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJiQTY0LGkj4ARaKrhEgWBgHk
Soong Soong Restaurant,"3680 Stevens Creek Blvd, San Jose",4.2,619,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJpziIOezKj4ARn4VC_ZM1_WA
Shanghai Delight,"218 Barber Ct, Milpitas",4,238,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJey0syybJj4ARwWBf2WE60Jk
May Flower Restaurant,"1080 Saratoga Ave, San Jose",4.5,103,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJyzwpKJHLj4ARHb4BKRasyyk
Terra,"2855 Stevens Creek Blvd, San Jose",4.4,529,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJEw-kfKjLj4ARY3C15WsJZBE
Osteria Toscana,"247 Hamilton Ave, Palo Alto",4.2,801,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJPwEoJjq7j4AR4Ymjl9MBLUw
Gumba's Italian Restaurant,"176 S Murphy Ave, Sunnyvale",4,1048,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJJ_svU1y2j4ARknuaJJT1xok
Trellis Restaurant,"1077 El Camino Real, Menlo Park",4.3,258,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJK5fHMa6kj4AR8DZJff2k-MQ
Tre Monti,"270 Main St, Los Altos",4.3,195,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ-2p_QZSxj4ARYGCfHQB_0O4
Il Fornaio,"520 Cowper St, Palo Alto",4.2,1060,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJpf2l3zi7j4ARq9jTYIKdfb0
Buca di Beppo Italian Restaurant,"643 Emerson St, Palo Alto",4.1,1477,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJEQbMSzq7j4ARCIzIQRU45og
Tomatina,"3127 Mission College Blvd, Santa Clara",4.2,1093,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJgXD1ed3Jj4ARcKSOl89S6Mg
The Pasta Market,"4546 El Camino Real, Los Altos",4.1,417,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJc5kBeZuwj4AR2MeiNjQT000
Il Fornaio Santa Clara,"2752 Augustine Dr #120, Santa Clara",4.2,2118,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJeYLDGe7Jj4ARTAWJla0ERHs
PHO BANH MI,"1007 S De Anza Blvd, San Jose",3.9,161,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJpVttkSa1j4ARJuUFnvzlEoE
Cẩm Hưng Sandwich and Coffee,"903 Reed Ave, Sunnyvale",4.5,887,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJn4K9-wy2j4ARn0JIAdK-Sdw
Tay Ho,"2047 El Camino Real, Santa Clara",4.4,630,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJBwCwQkbKj4AR52VE81PXNhA
Phở Long Thịnh,"1080 Saratoga Ave, San Jose",4.5,454,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJBcWcrbvKj4ARn3eVb7ynUO8
Phởtochau 999,"853 Villa St, Mountain View",4.4,1275,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJe1NXQDS3j4ARPm9KvbvygJc
Pho Avenue,"2500 W El Camino Real, Mountain View",4.2,360,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ6cEtu5mwj4ARXUcsNOIpx1w
Pho Lyfe,"3533 Homestead Rd, Santa Clara",4.6,253,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJJYmtXky1j4ARkJ-6RfUNiAM
Pho Viet Restaurant,"2557 N First St, San Jose",4.2,503,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJofXqmN_Lj4ARbQSNm7wc9dM
Phở Nguyễn Restaurant,"275 W Calaveras Blvd, Milpitas",4.2,283,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ3_tMRSjJj4ARY7y0mNwsYXw
House of Phở,"1066 E El Camino Real, Sunnyvale",4.2,891,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJq5_HO_C1j4ARUvvAg8RP4_E
Phở Nam,"844 W El Camino Real, Sunnyvale",4.4,699,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJv7TJyvS2j4AROqKFVE7660o
Phở Van,"1555 Laurelwood Rd, Santa Clara",4.3,308,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ09TfZ4bJj4ARwrfO3w3oJNM
Phở Vi Hoa,"4546 El Camino Real, Los Altos",4,763,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJc5kBeZuwj4AR5MSKHQl28rk
Pho Banh Mi P1,"405 University Ave, Palo Alto",3.9,255,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJNewidym7j4ARYVJY70w89hI
PhoEver,"321 W Washington Ave, Sunnyvale",4.4,513,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ5_L7nl62j4ARei6rj-DjhzI
Home Kitchen Vietnamese Cuisine,"1045 Monroe St, Santa Clara",4.2,161,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJBT59xFLKj4ARyL-b1Wg6awg
LeQuy,"3906 Middlefield Rd, Palo Alto",4.4,104,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJX2dDTkW7j4ARFo59XEuoaPk
Phở Queen Noodle House,"1133 Tasman Dr, Sunnyvale",4.1,483,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJn5NWzSq2j4ARwqT78r_ee4o
Pho Hoa & Jazen Tea - Mercado,"3147 Mission College Blvd, Santa Clara",4.1,1109,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJt6EAEt3Jj4ARHuLqvAEFUtQ
Annie's Sandwiches,"2925 Park Ave, Santa Clara",4.7,200,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJp1fTQ6jLj4ARcbsEYoMfZPg
Phở Nam Restaurant,"1205 Wildwood Ave, Sunnyvale",4.4,467,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJfXD2nye2j4ARNmmRtc0eH8Y
Bowl of Pho,"1627 Hollenbeck Ave, Sunnyvale",4.5,156,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJo-CR0DO1j4ARblEbmQDyAp4
Phở Lovers,"253 E Maude Ave, Sunnyvale",4.3,1198,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJxUW8_062j4ARrrfRyKUvkwY
Big Bites Vietnamese Eatery,"570 N Shoreline Blvd, Mountain View",4.1,291,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJDSpH40u3j4ARUfRnCcCRK9E
Truong Thanh Vietnamese Restaurant,"680 Barber Ln, Milpitas",3.9,203,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJhQD14STJj4ARS4--mS1EgCk
Gogo Phở,"5025 Stevens Creek Blvd, Santa Clara",4.3,365,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJoYz9JYLKj4ARx_wfU9taFCw
Pho Khang,"2207 Tasman Dr, Santa Clara",4.3,195,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJhRdoQ7HJj4ARggl6cahn6Mo
Pho Hoa + Jazen Tea (El Camino),"3484 El Camino Real, Santa Clara",3.8,669,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ478X-wnKj4ARw3sSZ7580Q4
Pho Hoa Noodle Soup - Homestead,"20674 Homestead Rd, Cupertino",4.3,111,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJwyj6e5O1j4ARvhsunDMPfmA
Pho Ha Noi,"10100 S De Anza Blvd, Cupertino",4.1,810,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJVSJ2QgG1j4ARHTxgsMVmeQY
Phở Hà Nội,"185 University Ave, Palo Alto",3.9,362,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJT_HstGa7j4ARLGiY5dPGJDg
Wooga Korean BBQ,"10493 S De Anza Blvd, Cupertino",4.4,112,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJOaNLNQC1j4ARvzbaz4lodR4
10 Butchers Korean BBQ,"595 E El Camino Real, Sunnyvale",4.4,1403,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJy-7zvVS3j4AR5plrODhDwJg
Gen Korean BBQ House,"2540 W El Camino Real, Mountain View",3.8,1001,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJd6xfy5ixj4ARAqVhOFl4ub0
Tofu Plus | Korean BBQ,"10971 N Wolfe Rd, Cupertino",4.3,773,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJJ2lh8ZW1j4AR6dt9a7ReLfs
Tobang,"1052 Kiely Blvd, Santa Clara",4.3,1017,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJy6tsfm7Kj4ARzJZ2WGCaW4U
Korean Spring BBQ,"1062 Kiely Blvd, Santa Clara",4.2,422,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJXzl5nG7Kj4AR2JQsgtbRY0w
Seorai Korean Bbq,"3044 El Camino Real, Santa Clara",4.4,235,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJy9g-svLLj4ARlMBCdWcxO2Y
Ondam,"2450 El Camino Real, Santa Clara",4.1,295,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ5Vzx3u7Lj4ARL3AGbXjk0gs
Restaurant Chungdam,"3180 El Camino Real, Santa Clara",4.4,1477,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJg0tZUwzKj4ARj6NIP_8ADis
Jang Su Jang,"269 W Calaveras Blvd, Milpitas",4.2,1117,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ3XpaRyjJj4ARkHcG53gErpg
Superhot Hot Pot & Korean BBQ,"210 Hope St, Mountain View",4.2,774,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJN_k8v0y3j4ARU5I-qHFv09U
Hansung BBQ,"2644 El Camino Real, Santa Clara",4.1,554,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJpyN8rRTKj4ARLNpSnYz12_g
Shu's Korean Restaurant,"3258 El Camino Real, Santa Clara",4.1,355,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJhcG8awzKj4ARN-FfRyWCEt8
Su-Dam Korean Cuisine,"4546 El Camino Real, Los Altos",4,428,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJS_8lm5uwj4ARTNDjilGJWvY
Gaboja,"2333 El Camino Real, Santa Clara",4.3,198,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJlcPnH0HKj4ARKVTrRWatmyg
JangTu Restaurant,"1012 E El Camino Real, Sunnyvale",4.3,546,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJPUwTgO-1j4ARv5TKwm4rxUk
Rice Junky - Santa Clara (Korean Restaurant),"2089 El Camino Real, Santa Clara",4.3,665,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ301r9kbKj4AR9ETX0COEzZA
Ilbunjee(#1 Restaurant),"2325 El Camino Real, Santa Clara",4.4,209,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ0Z0k2UDKj4ARs1SIDwHglvs
bb.q Chicken Sunnyvale,"561 E El Camino Real, Sunnyvale",4.2,225,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJN7KGGJ-3j4ARpcSEtt_P4X4
Korean house (T&T fusion),"2589 N First St, San Jose",4.2,133,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJw5SwZN_Lj4ARsPdxZKuuWNg
Mapo BBQ,"3395 El Camino Real, Santa Clara",4,226,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJk3MzWDDLj4ARV9VfllqPpho
Kami Korean Kitchen,"1054 Kiely Blvd, Santa Clara",4.4,142,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJL0e0hW7Kj4ARraRRWEdZHp0
Bonchon Mountain view,"260 Castro St, Mountain View",4.2,740,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJZ9C5aqK3j4AR7Llr-oHZJpw
Menlo BBQ,"555 Willow Rd, Menlo Park",4.3,211,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJL-UtBlu7j4ARfTp_8xKGdbo
Seapot Hot Pot & Bar,"740 E El Camino Real, Sunnyvale",4.2,837,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJr-6DkF-3j4ARdRld_i6iFjk
Bonchon Sunnyvale,"572 E El Camino Real, Sunnyvale",4.2,1007,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJDblWdnq2j4ARlV_AvXov0bE
Gooyi Gooyi,"2331 El Camino Real, Santa Clara",4,626,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ4xMB4EDKj4ARQXZvOe6Qs48
Dae Bak,"3284 El Camino Real, Santa Clara",4.1,644,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJt2sFbgzKj4AR6wGcORzYYBs
So Gong Dong Tofu House,"4127 El Camino Real, Palo Alto",4.3,1844,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJtWFrFmO6j4ARbA4cFdc8mG0
Kong Tofu and BBQ,"19626 Stevens Creek Blvd, Cupertino",4.3,503,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJRY6kzKG1j4ARGcZqX7JmepA
Gyu-Kaku Japanese BBQ,"19620 Stevens Creek Blvd #150, Cupertino",4.4,1216,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJVUQltaG1j4AR1P4csSC5AbQ
bb.q Chicken Milpitas,"179 W Calaveras Blvd, Milpitas",4.1,160,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJaYiGCn7Jj4ARTGbsDImEnsk
Daeho Kalbi Jjim & Beef Soup,"217 W Calaveras Blvd, Milpitas",4.4,631,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJnbHwGr_Jj4AR0mGC6oLUAdc
Seoul Gom Tang,"3028 El Camino Real, Santa Clara",3.7,532,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJE3MSghLKj4ARRMkYd-fqW-w
Pocha K,"2340 El Camino Real, Santa Clara",4.4,248,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ78EnlyrLj4ARvoq2zexYCUQ
Obok Restaurant,"3072 El Camino Real, Santa Clara",4.2,212,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJzwCadw3Kj4ARpsPDeLuiFtE
Jeffrey's Hamburgers,"888 El Camino Real, Menlo Park",4.5,1444,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJQaUX9rGkj4AR0094cczM7es
The Stand - American Classics Redefined,"785 Lawrence Expy, Santa Clara",4.6,572,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJP-9U5rC1j4AR2h6zkPDzcv0
iniBurger - Gourmet Burgers,"3555 Monroe St #75, Santa Clara",4.5,314,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ288l4um3j4ARbg8A00YJHHQ
In-N-Out Burger,"50 Ranch Dr, Milpitas",4.6,4308,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJoS74kN_Ij4ART0_lx6YoqF0
In-N-Out Burger,"604 E El Camino Real, Sunnyvale",4.6,6260,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJX1GAi2S2j4ARvOtglmNR04g
Burger Barn,"2485 Forest Ave, San Jose",4.2,464,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJFf8ONeLKj4ARMWdHkPfgjOg
In-N-Out Burger,"53 W El Camino Real, Mountain View",4.5,4967,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJnd9jPSi3j4AR5m7u0VrveB8
In-N-Out Burger,"3001 Mission College Blvd, Santa Clara",4.5,5978,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ-SOj-ufJj4ARdA0LHl3Siq8
In-N-Out Burger,"1159 N Rengstorff Ave, Mountain View",4.5,7334,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ5V-QXKiwj4ARv5e-BSB9fiA
Habit Burger & Grill,"20735 Stevens Creek Blvd, Cupertino",4.3,945,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJf33kna21j4AREoE6zAKFwHY
The Counter,"2580 W El Camino Real, Mountain View",4.2,1622,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJyS7o4Zuwj4ARon29W1GsXJo
The Habit Burger Grill,"1040 Grant Rd, Mountain View",4.1,161,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJy-kI0EC3j4ARwGKPY8qqp-8
