Restaurant Name,Address,Approximate Rating,Number of Ratings,Source URL
Tasty Pizza,"21000 Stevens Creek Blvd #200, Cupertino",4.3,221,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJUcKPO6i1j4ARuRy8JNTaoGM
212 New York Pizza,"19998 Homestead Rd, Cupertino",4.4,223,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJiYkVmbi1j4ARs6ocdExoJ5Q
New York Pizza Palo Alto,"325 Hamilton Ave, Palo Alto",4.5,566,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ0y2QeTm7j4ARoys6DSP_0k4
Legends Pizza Co.,"19732 Stevens Creek Blvd, Cupertino",4.2,174,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ_2LnV6C1j4AR7s1SqwzW1qk
Premier Pizza,"3944 Rivermark Plaza, Santa Clara",4.4,584,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJec-odnbJj4AR1jSSe-kILRQ
My Indian Pizza,"939 W El Camino Real #112, Sunnyvale",4.3,644,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJxdsHX6i3j4AR08mH409OiHY
Curry Pizza House Cupertino,"20080 Stevens Creek Blvd, Cupertino",4.3,607,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJL6Xsqze1j4ARKy05koUhFTU
Pizza My Heart,"4300 Great America Pkwy #148, Santa Clara",4.3,794,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJAzBxucPJj4ARwx_RgDNuL24
Mountain Mike's Pizza,"1001 El Camino Real, Menlo Park",4.2,158,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJyyp24eClj4ARq9LeAXdUlFE
New York Pizza,"1040 Grant Rd # 310, Mountain View",4.3,524,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ5Z7q1de2j4ARGQo7GtP9k3Q
Howie's Artisan Pizza,"855 El Camino Real #60, Palo Alto",4.4,448,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJHz4XFiW7j4AR4OCRJ5FPWnQ
Pizza My Heart,"2855 Stevens Creek Blvd, Santa Clara",4.1,155,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJgexMlR_Lj4ARQf4QA_UId5U
Pizza My Heart,"220 University Ave, Palo Alto",4.2,1286,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJN1Yf8Dm7j4ARg7totskx17E
Via Mia Pizza,"19998 E Homestead Rd, Cupertino",4.4,144,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJR95lWPC1j4ARl4tTXsGZVog
Mountain Mike's Pizza,"848 E El Camino Real, Sunnyvale",4.2,167,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJITkovxG1j4ARXD_oSCL3dO8
Emmanuel's Pizza & Bakery,"1435 E Bayshore Rd, East Palo Alto",4.2,258,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJd_N8a2-7j4ARpvJvLS3h9ag
Tony’s Pizza,"820 Willow Rd, Menlo Park",3.9,198,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ46iIrl67j4ARS9sincACO3Q
Blue Line Pizza,"146 Castro St, Mountain View",4.4,1182,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJG4CRJDS3j4ARpVclpxEi2O4
Tandoori Pizza - San Jose,"3350 Zanker Rd #30, San Jose",4,274,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJcy-El7DJj4AR1GtcG4HrGAU
Amici's East Coast Pizzeria,"880 Santa Cruz Ave, Menlo Park",4.2,522,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJXTqVn7qkj4ARa3-Bikh4S9c
California Pizza Kitchen at Santa Clara,"3535 Monroe St, Santa Clara",4,1112,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJl5KUQAC2j4ARy1qvrOHluIk
Seniore's Pizza,"940 Monroe St, Santa Clara",4.3,431,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJF1CxJ1PKj4AR667t4HLrbro
Pizza+,"375 Saratoga Ave D, San Jose",4.5,138,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJSwYEwXzLj4ARjrx3cB5cgGE
Pizza My Heart,"700 Bellomy St, Santa Clara",4.5,595,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJVVf2V6jLj4ARQpRxl_sUhlE
Mountain Mike's Pizza,"3918-B Middlefield Rd, Palo Alto",3.8,234,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJxWMIsW26j4ARP3JAJRibIWg
Fast Pizza Delivery,"327 Moffett Blvd, Mountain View",4.5,146,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJBZGjzDe3j4ARJHD5hayJ-sY
Super Taqueria,"1195 W El Camino Real, Sunnyvale",4.2,1706,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJuRzizei2j4ARQ90BzlxGveI
Taqueria Los Cuñados,"196 Ranch Dr, Milpitas",4.2,1008,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJfXJdJN_Ij4ARhi61HoNsQCE
Puesto Santa Clara,"2752 Augustine Dr #110, Santa Clara",4.5,4367,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJDXRaF-7Jj4ARP7pAVdmdxH4
Taqueria El Grullense M&G,"3636 El Camino Real, Palo Alto",4.2,1481,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ7f7sE4u6j4ARzIuv160J9jU
López Taqueria,"305 N Fair Oaks Ave, Sunnyvale",4.4,771,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJJV6kK0G2j4ARerHW0SFr50Q
Ruby's Taqueria,"821 Borregas Ave, Sunnyvale",4.3,686,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJc8HfD7O3j4ARgC1Adf0bSeY
Speedy's Tacos,"929 E Duane Ave, Sunnyvale",4.6,1506,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJG1yUxCS2j4ARPvV3r5UxHmc
Lopez Taqueria 3,"808 W El Camino Real, Sunnyvale",4.5,103,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ09WkjoW3j4ARCSswPMTpnvw
Taqueria La Cazuela,"2390 Clarke Ave, East Palo Alto",4.6,843,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ14a7_Xu7j4ARRKXwuk2lSiw
Tía Juana Grill,"901 E Duane Ave, Sunnyvale",4.4,865,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ-8xbITu2j4ARfKE9Wk7TUUY
Celia’s Mexican Restaurant,"3740 El Camino Real, Palo Alto",4.3,674,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ7c_w_4q6j4ARF8QWNPNwbck
Mi Taqueria,"875 Hamilton Ave, Menlo Park",4.3,419,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJUW8_cZi8j4ARlXrMi3FLNhE
Garcia's Taqueria,"738 S Fair Oaks Ave, Sunnyvale",4,887,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJt-9M-3C2j4ARStIFAZ8_1sY
Pedro's Restaurant & Cantina,"3935 Freedom Cir, Santa Clara",4.2,3942,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJTZghkezJj4ARYiB5UzJzq7E
Estrellita Mexican Bistro,"971 N San Antonio Rd, Los Altos",4.4,735,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ1YsQu5uwj4ARLCuO0c9AdlA
Corazon Mexican Food,"1255 S Mary Ave, Sunnyvale",4.4,310,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJxb7137m3j4ARLzZ76dXcqz4
Taqueria Vallarta,"2525 Scott Blvd, Santa Clara",4.2,325,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJZba2TyXKj4ARgG3VQrT2K8Q
Tres Potrillos Taqueria,"670 N Fair Oaks Ave, Sunnyvale",4.2,1464,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJlz5Ftje2j4ARcQA_BP54Ki8
Taqueria Pátzcuaro,"603 Old San Francisco Rd, Sunnyvale",4.6,387,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJS28ZPG62j4ARwbtARjzWoWs
El Caminito,"510 E El Camino Real, Sunnyvale",4.1,602,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJtXB_j3q2j4ARLJpG8rQtAfs
El Buen Sazón,"995 Saratoga Ave, San Jose",4.3,193,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJiydfePTLj4ARFdIK4F0bCZ8
Jennifer taqueria,"1929 Latham St, Mountain View",3.8,348,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJTxs7Nbiwj4AR57LIHUNCytA
Los Altos Taqueria Mexican Inc,"2105 Old Middlefield Way, Mountain View",4.2,1453,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJhzHBsAe6j4ARvq9oi8u-bqQ
Margarita’s Taqueria - Mobile Mexican Food Truck Service,"1175 E Homestead Rd, Sunnyvale",4.7,392,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJHay5cBu3j4ARRViiblryQ8I
Rio Adobe Southwest Cafe,"10525 S De Anza Blvd #100, Cupertino",4.5,520,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJTwJyqwC1j4ARFPJZPVR8448
Rincon Sabroso Restaurant,"122 N Rengstorff Ave, Mountain View",4.1,687,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ--MPCaWwj4ARyYAEuYhsf0E
Los Portales,"430 Moffett Blvd, Mountain View",4.4,577,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJwRZVJUi3j4ARRDXWLyu0pQ4
La Veracruzana Restaurant,"1510 Jackson St, Santa Clara",4.3,1168,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJyRor80zKj4AR1EDi2xGWexk
Como Esta Taqueria,"2605 Middlefield Rd, Palo Alto",4.2,272,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJd0Absfi6j4ARJUQZcc5Tzu0
Mama Coco Cocina Mexicana,"1081 El Camino Real, Menlo Park",4.3,363,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJrbqcMa6kj4ARYORVCGFGaI0
Marlen Taqueria,"2530 California St, Mountain View",3.9,147,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJvdHHVp-wj4ARKJ0FAyX7W8U
Lupita's Taqueria and Panderia,"2341 El Camino Real, Santa Clara",4.2,451,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJXz86653Lj4AR_0tMF0RBx-c
Sonora Taqueria,"801 N Fair Oaks Ave, Sunnyvale",4.3,357,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJqYYAdDa2j4ARr4aCEExMyw4
Super Burrito,"1671 Hollenbeck Ave, Sunnyvale",4.1,205,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJoUJXrzO0j4ARMNXZ5VBjWgk
Celia's,"1850 El Camino Real, Menlo Park",4.2,858,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJq6CCdl-jj4ARjkoQDdcOsDE
American Cafe,"4701 Great America Pkwy, Santa Clara",3.5,120,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJS1P3IMfJj4ARyYfto6rO7tk
